definition,definition_positive,matched_registry,precision,PPV,historical_rounded_precision,difference_pp
D0,921,640,0.6948968512,0.6948968512,0.69,0.48968512
D1,721,574,0.7961165049,0.7961165049,0.80,-0.38834951
D2,830,605,0.7289156627,0.7289156627,0.73,-0.10843373
D3,609,501,0.8226600985,0.8226600985,0.82,0.26600985
D4,678,525,0.7743362832,0.7743362832,0.77,0.43362832
D5,878,621,0.7072892938,0.7072892938,0.71,-0.27107062
D6,417,338,0.8105515588,0.8105515588,0.81,0.05515588
D7,713,538,0.7545582048,0.7545582048,0.75,0.45582048
D8,559,439,0.7853309481,0.7853309481,0.78,0.53309481
D9,485,378,0.7793814433,0.7793814433,,
