center,definition,n_months,definition_total,registry_mean_monthly,MAE,nMAE,nMAE_percent,Pearson_r
Center 2,D0,67,4166,51.0,14.014925,0.274802,27.480246,0.149725
Center 2,D1,67,3225,51.0,7.641791,0.149839,14.983904,0.534450
Center 2,D2,67,3705,51.0,10.208955,0.200176,20.017559,0.283183
Center 2,D3,67,2684,51.0,11.537313,0.226222,22.622183,0.574137
Center 2,D4,67,2977,51.0,10.149254,0.199005,19.900498,0.410619
Center 2,D5,67,3837,51.0,10.716418,0.210126,21.012584,0.268011
Center 2,D6,67,2589,51.0,12.537313,0.245830,24.582968,0.605066
Center 2,D7,67,3026,51.0,9.955224,0.195200,19.520047,0.400873
Center 2,D8,67,2452,51.0,14.492537,0.284167,28.416740,0.602630
Center 3,D0,77,2230,27.805195,6.168831,0.221859,22.185894,0.563152
Center 3,D1,77,2060,27.805195,5.597403,0.201308,20.130780,0.588320
Center 3,D2,77,2154,27.805195,5.883117,0.211583,21.158337,0.578516
Center 3,D3,77,1734,27.805195,6.844156,0.246147,24.614666,0.552808
Center 3,D4,77,1784,27.805195,6.454545,0.232135,23.213452,0.564815
Center 3,D5,77,2183,27.805195,6.025974,0.216721,21.672116,0.567916
Center 3,D6,77,1666,27.805195,7.493506,0.269500,26.950023,0.495817
Center 3,D7,77,1790,27.805195,6.454545,0.232135,23.213452,0.561301
Center 3,D8,77,1962,27.805195,5.753247,0.206913,20.691266,0.582342
