center,definition,n_months,MAE,nMAE,nMAE_percent,Pearson_r,status
Center 1,D0,85,30.447059,0.647000,64.700000,0.425180,evaluable
Center 1,D1,85,12.576471,0.267250,26.725000,0.642408,evaluable
Center 1,D3,85,8.141176,0.173000,17.300000,0.587832,evaluable
Center 1,D6,85,14.776471,0.314000,31.400000,0.054249,evaluable
Center 1,D9,85,18.976471,0.403250,40.325000,0.048506,evaluable
Center 2,D0,67,14.014925,0.274802,27.480246,0.149725,evaluable
Center 2,D1,67,7.641791,0.149839,14.983904,0.534450,evaluable
Center 2,D3,67,11.537313,0.226222,22.622183,0.574137,evaluable
Center 2,D6,67,12.537313,0.245830,24.582968,0.605066,evaluable
Center 3,D0,77,6.168831,0.221859,22.185894,0.563152,evaluable
Center 3,D1,77,5.597403,0.201308,20.130780,0.588320,evaluable
Center 3,D3,77,6.844156,0.246147,24.614666,0.552808,evaluable
Center 3,D6,77,7.493506,0.269500,26.950023,0.495817,evaluable
Center 4,D0,16,68.812500,2.823077,282.307692,0.292270,evaluable
Center 4,D1,16,21.562500,0.884615,88.461538,0.199705,evaluable
Center 4,D3,16,23.687500,0.971795,97.179487,0.306381,evaluable
Center 4,D6,0,,,,,not_evaluable
